reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,N/A,"The Role Of Cellulosic Chains Of Cotton In Biosynthesis Of ZnO Nanorods Producing Multifunctional Properties: Mechanism, Characterizations And Features",31,10.1016/j.carbpol.2015.03.036,https://w3id.org/oc/meta/br/0670163806,year_author_page
ref_2,N/A,Sustainable Oleic And Stearic Acid Based Biodegradable Surfactants,27,10.1039/c6ra27036k,https://w3id.org/oc/meta/br/06150975876,year_and_doi
ref_3,N/A,"Natural And Biomimetic Artificial Surfaces For Superhydrophobicity, Self-Cleaning, Low Adhesion, And Drag Reduction",27,10.1016/j.pmatsci.2010.04.003,https://w3id.org/oc/meta/br/06501183945,year_and_doi
ref_4,N/A,"Lightweight, Mechanical Robust Foam With A Herringbone-Like Porous Structure For Oil/Water Separation And Filtering",24,10.1016/j.polymertesting.2018.09.033,https://w3id.org/oc/meta/br/06130553953,year_and_doi
ref_5,N/A,Acid And Temperature Dual-Responsive Cotton Fabrics With Polymer Coating,24,10.1016/j.coco.2017.03.003,https://w3id.org/oc/meta/br/062101308447,year_and_doi
ref_6,N/A,Sustainable And Biodegradable Superhydrophobic Coating From Epoxidized Soybean Oil And ZnO Nanoparticles On Cellulosic Substrates For Efficient Oil/Water Separation,27,10.1021/acssuschemeng.7b02549,https://w3id.org/oc/meta/br/061202386580,year_and_doi
ref_7,N/A,Cellulose Nanocrystal Coated Cotton Fabric With Superhydrophobicity For Efficient Oil/Water Separation,24,10.1016/j.carbpol.2018.07.046,https://w3id.org/oc/meta/br/0630159618,year_and_doi
ref_8,N/A,Biobased Super-Hydrophobic Coating On Cotton Fabric Fabricated By Spray-Coating For Efficient Oil/Water Separation,24,10.1016/j.polymertesting.2018.01.005,https://w3id.org/oc/meta/br/06130554288,year_and_doi
ref_9,N/A,Robust And Durable Superhydrophobic Cotton Fabrics Via A One-Step Solvothermal Method For Efficient Oil/Water Separation,27,10.1007/s10570-019-02267-6,https://w3id.org/oc/meta/br/061801823625,year_and_doi
ref_10,N/A,Oil/Water Separation With Selective Superantiwetting/Superwetting Surface Materials,26,10.1002/anie.201405785,https://w3id.org/oc/meta/br/0630101389,year_and_doi
ref_11,N/A,TiO2-alginate Composite Aerogels As Novel Oil/Water Separation And Wastewater Remediation Filters,31,10.1016/j.compositesb.2018.12.097,https://w3id.org/oc/meta/br/0670327400,year_author_page
ref_12,N/A,"A Self-Roughened And Biodegradable Superhydrophobic Coating With UV Shielding, Solar-Induced Self-Healing And Versatile Oil–Water Separation Ability",27,10.1039/c8ta10869b,https://w3id.org/oc/meta/br/06140487307,year_and_doi
ref_13,N/A,Super-Hydrophobic Surfaces: From Natural To Artificial,27,10.1002/adma.200290020,https://w3id.org/oc/meta/br/061902606931,year_and_doi
ref_14,N/A,Mussel Adhesive-Inspired Design Of Superhydrophobic Nanofibrillated Cellulose Aerogels For Oil/Water Separation,27,10.1021/acssuschemeng.8b01397,https://w3id.org/oc/meta/br/061102403408,year_and_doi
