reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b0,10.1103/physrevlett.59.1092,1987-09-07,Above-threshold Ionization With Subpicosecond Laser Pulses,https://w3id.org/oc/meta/id/06603526309,https://w3id.org/oc/meta/ar/066015762296,https://w3id.org/oc/meta/re/06602678356,https://w3id.org/oc/meta/br/06460353920,http://purl.org/spar/fabio/JournalArticle
b1,10.1103/physrevlett.60.565,1988-02-15,Multiphoton Ionization Of Xenon With 100-Fs Laser Pulses,https://w3id.org/oc/meta/id/06960230812,https://w3id.org/oc/meta/ar/062015563533,https://w3id.org/oc/meta/re/06202675828,https://w3id.org/oc/meta/br/061403784712,http://purl.org/spar/fabio/JournalArticle
b2,10.1103/physreva.47.r49,1993,Population Trapping In Kr And Xe In Intense Laser Fields,https://w3id.org/oc/meta/id/06404420368,https://w3id.org/oc/meta/ar/061405856048,https://w3id.org/oc/meta/re/061401084900,https://w3id.org/oc/meta/br/06404203087,http://purl.org/spar/fabio/JournalArticle
b3,10.1103/physreva.49.4837,1994-06-01,Atomic Hydrogen In A Strong Optical Radiation Field,https://w3id.org/oc/meta/id/06604427976,https://w3id.org/oc/meta/ar/0625014165482,https://w3id.org/oc/meta/re/062502521845,https://w3id.org/oc/meta/br/061504087107,http://purl.org/spar/fabio/JournalArticle
b4,10.1103/physrevlett.42.1127,1979-04-23,Free-Free Transitions Following Six-Photon Ionization Of Xenon Atoms,https://w3id.org/oc/meta/id/061403227265,https://w3id.org/oc/meta/ar/0614014185671,https://w3id.org/oc/meta/re/061402515497,https://w3id.org/oc/meta/br/061403483728,http://purl.org/spar/fabio/JournalArticle
b5,10.1016/s1049-250x(02)80006-4,2002,Above-Threshold Ionization: From Classical Features To Quantum Effects,https://w3id.org/oc/meta/id/06610260067,https://w3id.org/oc/meta/ar/0613013188660,https://w3id.org/oc/meta/re/061302406990,https://w3id.org/oc/meta/br/061303196475,http://purl.org/spar/fabio/BookChapter
b6,10.1103/revmodphys.84.1011,2012-07-17,Theories Of Photoelectron Correlation In Laser-Driven Multiple Atomic Ionization,https://w3id.org/oc/meta/id/06790590782,https://w3id.org/oc/meta/ar/06106064053,https://w3id.org/oc/meta/re/06101160843,https://w3id.org/oc/meta/br/06101415348,http://purl.org/spar/fabio/JournalArticle
b7,10.1088/0256-307x/23/10/029,2006-09-27,Coulomb Potential Recapture Effect In Above-Barrier Ionization In Laser Pulses,https://w3id.org/oc/meta/id/061102767375,https://w3id.org/oc/meta/ar/0611012061233,https://w3id.org/oc/meta/re/061102222245,https://w3id.org/oc/meta/br/061102861080,http://purl.org/spar/fabio/JournalArticle
b8,10.1103/physrevlett.101.233001,2008-12-01,Strong-Field Tunneling Without Ionization,https://w3id.org/oc/meta/id/06902094104,https://w3id.org/oc/meta/ar/06909163616,,https://w3id.org/oc/meta/br/06902086706,http://purl.org/spar/fabio/JournalArticle
